,Tweets,len,ID,Date,Likes,RTs,sentiment
83,Prince William praises 'wonderful' NHS staff https://t.co/owDsOLRblg,68,995904655803801600,2018-05-14 05:52:27,447,87,
84,"News Daily: MI5 warns over IS and Russia, and kidnapped Brits 'grateful' for release https://t.co/iYncwqNQaO",108,995898281766146048,2018-05-14 05:27:07,35,24,
85,50 Great World Cup moments: Maxi Rodriguez's incredible goal in 2006 https://t.co/SmKmB8oBOS,92,995895993169317890,2018-05-14 05:18:02,42,5,
86,Bafta TV Awards: The best bits in 100 seconds https://t.co/hlOzxyb0H6,69,995891376062595072,2018-05-14 04:59:41,42,10,
87,Two dead in parachute light aircraft crash https://t.co/kpeOsthPxB,66,995886559739117568,2018-05-14 04:40:33,30,22,
88,Surabaya: Suicide bombers attack Indonesia police headquarters https://t.co/osj6YoYjur,86,995877246782115840,2018-05-14 04:03:32,41,74,
89,Funding doubled for Tessa Jowell research https://t.co/oZZZnslUwN,65,995876120028381186,2018-05-14 03:59:04,54,11,
90,Jerusalem embassy: US officials to attend opening ceremony https://t.co/yg8RiapJqj,82,995868479898177542,2018-05-14 03:28:42,37,23,
91,Victims of serious crime face arrest https://t.co/gSveGSM496,60,995866685759467521,2018-05-14 03:21:34,33,49,
92,Royal Navy nuclear submarines to get ?2.5bn boost https://t.co/0WSiGTJEXM,73,995861983336550400,2018-05-14 03:02:53,80,28,
93,BBC Young Musician: Teenage pianist Lauren Zhang wins 2018 title https://t.co/pPT8Ahpa7Z,88,995857302052917248,2018-05-14 02:44:17,86,31,
94,Sharp rise in mentally ill children aged under 11 https://t.co/QYP21R6My8,73,995856109209554944,2018-05-14 02:39:33,71,61,
95,Highlights: Hibernian 5-5 Rangers https://t.co/lvTC4qHdwZ,57,995847915863199744,2018-05-14 02:06:59,17,3,
96,11 things we learned at the TV Baftas https://t.co/Uh9YnuavyK,61,995846749607661570,2018-05-14 02:02:21,24,11,
97,The restaurateur couple who overcame arson threats https://t.co/6a36m901N2,74,995846749389455360,2018-05-14 02:02:21,21,11,
98,Volcano Kilauea: What stops eruptions of lava? https://t.co/1pHwbekodX,70,995846749125332992,2018-05-14 02:02:21,35,25,
99,Why does Ebola keep coming back? https://t.co/6Z317A32Jv,56,995845560782516224,2018-05-14 01:57:38,60,49,
100,Pupils sitting SATs taught power pose to improve focus https://t.co/SgzlfCZOny,78,995845006815526912,2018-05-14 01:55:26,69,28,
101,Royal Wedding 2018: Black Britons on the 'Meghan effect' https://t.co/bnSMlZoDpm,80,995845006731698177,2018-05-14 01:55:26,88,24,
102,Kim Jong-un: What's it like having the same name as a North Korean leader? https://t.co/QZigws8YlV,98,995844440018309120,2018-05-14 01:53:11,39,24,
103,"IS still threatens Europe, warns MI5 chief https://t.co/FX6wWAbTbk",66,995842665274138624,2018-05-14 01:46:07,47,34,
104,What kind of wedding dress will Meghan Markle wear? https://t.co/wixxi8oOZA,75,995822401077370880,2018-05-14 00:25:36,67,22,
105,Players Championship: Webb Simpson claims four shot win as Tiger Woods falls short of final round comeback https://t.co/e0pIDY90tS,130,995809081704239105,2018-05-13 23:32:40,24,13,
106,The Papers: 'Russia poisoning broke international law' https://t.co/Wqj5nyX8Ty,78,995800793579171840,2018-05-13 22:59:44,77,53,
107,Surabaya church attacks: Indonesian family of bombers 'had been to Syria' https://t.co/t1J7QU2o6M,97,995794385970360321,2018-05-13 22:34:17,40,40,
108,Mauricio Pochettino: Tottenham manager says club must 'take risks' to improve https://t.co/n4LW5FWepi,101,995792014871580672,2018-05-13 22:24:51,52,8,
109,Baftas: Small screen stars on red carpet https://t.co/LsTT7LROle,64,995784210182033410,2018-05-13 21:53:51,131,18,
110,Levante 5-4 Barcelona https://t.co/z2fvNZ5AiC,45,995773628024328192,2018-05-13 21:11:48,111,40,
111,Kidnapped Brits 'very grateful' after release https://t.co/cUChEuNVqh,69,995765053721862145,2018-05-13 20:37:43,109,26,
112,John Motson: Emotional tributes to Motty before final commentary https://t.co/3P3LcbtOfl,88,995761022618230786,2018-05-13 20:21:42,284,42,
113,Theresa May raises jailed Britons' cases with Iran https://t.co/O7qis4fFCz,74,995747050489860097,2018-05-13 19:26:11,76,29,
114,Jerusalem embassy: Ivanka Trump and Jared Kushner arrive for Monday opening https://t.co/euD4mPt34e,99,995741715255517186,2018-05-13 19:04:59,75,41,
115,Challenge Cup: Toronto Wolfpack 10-66 Warrington Wolves top moments https://t.co/S3wWUCzoc2,91,995737700249587714,2018-05-13 18:49:02,18,6,
116,Bafta TV Awards 2018: First winners announced https://t.co/z5LHelwj72,69,995737104385748993,2018-05-13 18:46:40,70,14,
117,"It's almost time for the #baftatv awards. 

Watch the ceremony on @BBCOne from 20:00 BST https://t.co/f1kAepbve4",112,995736997405839360,2018-05-13 18:46:14,99,27,
118,Doctor Who: 'Absolutely incredible' https://t.co/EfzJ896Hki,59,995730704427339781,2018-05-13 18:21:14,292,79,
119,"Welcome to medieval fight club! ??

https://t.co/EXJBtEDr19 https://t.co/Z54Kfy9iEx",83,995728128910639105,2018-05-13 18:11:00,153,56,
120,Southampton 0-1 Manchester City https://t.co/bLWPo1dV5S,55,995726128055750657,2018-05-13 18:03:03,48,4,
